Number of Learning Problems, Population Size, Average Fitness, Average Specificity, Macro Classifier Proportion, Average Number of Steps to Goal
50, 20, 0.46108241409308637, 6.95, 0.35, 1.01
100, 20, 0.46108241409308637, 6.95, 0.35, 1.01
150, 20, 0.46108241409308637, 6.95, 0.35, 1.01
200, 20, 0.46108241409308637, 6.95, 0.35, 1.01
250, 20, 0.46108241409308637, 6.95, 0.35, 1.01
300, 20, 0.46108241409308637, 6.95, 0.35, 1.01
350, 20, 0.46108241409308637, 6.95, 0.35, 1.01
400, 20, 0.46108241409308637, 6.95, 0.35, 1.01
450, 20, 0.46108241409308637, 6.95, 0.35, 1.01
500, 20, 0.46108241409308637, 6.95, 0.35, 1.01
550, 20, 0.46108241409308637, 6.95, 0.35, 1.01
600, 20, 0.46108241409308637, 6.95, 0.35, 1.01
650, 20, 0.46108241409308637, 6.95, 0.35, 1.01
700, 20, 0.46108241409308637, 6.95, 0.35, 1.01
750, 20, 0.46108241409308637, 6.95, 0.35, 1.01
800, 20, 0.46108241409308637, 6.95, 0.35, 1.01
850, 20, 0.46108241409308637, 6.95, 0.35, 1.01
900, 20, 0.46108241409308637, 6.95, 0.35, 1.01
950, 20, 0.46108241409308637, 6.95, 0.35, 1.01
1000, 20, 0.46108241409308637, 6.95, 0.35, 1.01
1050, 20, 0.46108241409308637, 6.95, 0.35, 1.01
1100, 20, 0.46108241409308637, 6.95, 0.35, 1.01
1150, 20, 0.46108241409308637, 6.95, 0.35, 1.01
1200, 20, 0.46108241409308637, 6.95, 0.35, 1.01
1250, 20, 0.46108241409308637, 6.95, 0.35, 1.01
1300, 20, 0.46108241409308637, 6.95, 0.35, 1.01
1350, 20, 0.46108241409308637, 6.95, 0.35, 1.01
1400, 20, 0.46108241409308637, 6.95, 0.35, 1.01
1450, 20, 0.46108241409308637, 6.95, 0.35, 1.01
1500, 20, 0.46108241409308637, 6.95, 0.35, 1.01
1550, 20, 0.46108241409308637, 6.95, 0.35, 1.01
1600, 20, 0.46108241409308637, 6.95, 0.35, 1.01
1650, 20, 0.46108241409308637, 6.95, 0.35, 1.01
1700, 20, 0.46108241409308637, 6.95, 0.35, 1.01
1750, 20, 0.46108241409308637, 6.95, 0.35, 1.01
1800, 20, 0.46108241409308637, 6.95, 0.35, 1.01
1850, 20, 0.46108241409308637, 6.95, 0.35, 1.01
1900, 20, 0.46108241409308637, 6.95, 0.35, 1.01
1950, 20, 0.46108241409308637, 6.95, 0.35, 1.01
2000, 20, 0.46108241409308637, 6.95, 0.35, 1.01
2050, 20, 0.46108241409308637, 6.95, 0.35, 1.01
2100, 20, 0.46108241409308637, 6.95, 0.35, 1.01
2150, 20, 0.46108241409308637, 6.95, 0.35, 1.01
2200, 20, 0.46108241409308637, 6.95, 0.35, 1.01
2250, 20, 0.46108241409308637, 6.95, 0.35, 1.01
2300, 20, 0.46108241409308637, 6.95, 0.35, 1.01
2350, 20, 0.46108241409308637, 6.95, 0.35, 1.01
2400, 20, 0.46108241409308637, 6.95, 0.35, 1.01
2450, 20, 0.46108241409308637, 6.95, 0.35, 1.01
2500, 20, 0.46108241409308637, 6.95, 0.35, 1.01
2550, 20, 0.46108241409308637, 6.95, 0.35, 1.01
2600, 20, 0.46108241409308637, 6.95, 0.35, 1.01
2650, 20, 0.46108241409308637, 6.95, 0.35, 1.01
2700, 20, 0.46108241409308637, 6.95, 0.35, 1.01
2750, 20, 0.46108241409308637, 6.95, 0.35, 1.01
2800, 20, 0.46108241409308637, 6.95, 0.35, 1.01
2850, 20, 0.46108241409308637, 6.95, 0.35, 1.01
2900, 20, 0.46108241409308637, 6.95, 0.35, 1.01
2950, 20, 0.46108241409308637, 6.95, 0.35, 1.01
3000, 20, 0.46108241409308637, 6.95, 0.35, 1.01
3050, 20, 0.46108241409308637, 6.95, 0.35, 1.01
3100, 20, 0.46108241409308637, 6.95, 0.35, 1.01
3150, 20, 0.46108241409308637, 6.95, 0.35, 1.01
3200, 20, 0.46108241409308637, 6.95, 0.35, 1.01
3250, 20, 0.46108241409308637, 6.95, 0.35, 1.01
3300, 20, 0.46108241409308637, 6.95, 0.35, 1.01
3350, 20, 0.46108241409308637, 6.95, 0.35, 1.01
3400, 20, 0.46108241409308637, 6.95, 0.35, 1.01
3450, 20, 0.46108241409308637, 6.95, 0.35, 1.01
3500, 20, 0.46108241409308637, 6.95, 0.35, 1.01
3550, 20, 0.46108241409308637, 6.95, 0.35, 1.01
3600, 20, 0.46108241409308637, 6.95, 0.35, 1.01
3650, 20, 0.46108241409308637, 6.95, 0.35, 1.01
3700, 20, 0.46108241409308637, 6.95, 0.35, 1.01
3750, 20, 0.46108241409308637, 6.95, 0.35, 1.01
3800, 20, 0.46108241409308637, 6.95, 0.35, 1.01
3850, 20, 0.46108241409308637, 6.95, 0.35, 1.01
3900, 20, 0.46108241409308637, 6.95, 0.35, 1.01
3950, 20, 0.46108241409308637, 6.95, 0.35, 1.01
4000, 20, 0.46108241409308637, 6.95, 0.35, 1.01
4050, 20, 0.46108241409308637, 6.95, 0.35, 1.01
4100, 20, 0.46108241409308637, 6.95, 0.35, 1.01
4150, 20, 0.46108241409308637, 6.95, 0.35, 1.01
4200, 20, 0.46108241409308637, 6.95, 0.35, 1.01
4250, 20, 0.46108241409308637, 6.95, 0.35, 1.01
4300, 20, 0.46108241409308637, 6.95, 0.35, 1.01
4350, 20, 0.46108241409308637, 6.95, 0.35, 1.01
4400, 20, 0.46108241409308637, 6.95, 0.35, 1.01
4450, 20, 0.46108241409308637, 6.95, 0.35, 1.01
4500, 20, 0.46108241409308637, 6.95, 0.35, 1.01
4550, 20, 0.46108241409308637, 6.95, 0.35, 1.01
4600, 20, 0.46108241409308637, 6.95, 0.35, 1.01
4650, 20, 0.46108241409308637, 6.95, 0.35, 1.01
4700, 20, 0.46108241409308637, 6.95, 0.35, 1.01
4750, 20, 0.46108241409308637, 6.95, 0.35, 1.01
4800, 20, 0.46108241409308637, 6.95, 0.35, 1.01
4850, 20, 0.46108241409308637, 6.95, 0.35, 1.01
4900, 20, 0.46108241409308637, 6.95, 0.35, 1.01
4950, 20, 0.46108241409308637, 6.95, 0.35, 1.01
5000, 20, 0.46108241409308637, 6.95, 0.35, 1.01
